peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
3.513003	1.0	1.0	1.0	3.04235	2.0	0.0	0.0	1.834606	3.0	1.0	1.0	2.151266	2.0	2.0	0.0	0.79216	7.0	3.0	1.0	0.813102	6.0	4.0	2.0	Fm3m	4
3.30576	1.0	0.0	1.0	3.53	0.0	0.0	2.0	1.842443	1.0	1.0	2.0	1.992009	1.0	0.0	3.0	3.74123	1.0	0.0	0.0	2.16	1.0	1.0	0.0	P6_3mmc	0
3.429468	1.0	1.0	0.0	1.980004	2.0	1.0	1.0	0.786774	5.0	3.0	2.0	1.296217	3.0	2.0	1.0	2.425	2.0	0.0	0.0	1.533705	3.0	1.0	0.0	Im3m	8
3.135311	1.0	1.0	0.0	1.810173	2.0	1.0	1.0	0.809534	5.0	2.0	1.0	1.185036	3.0	2.0	1.0	2.217	2.0	0.0	0.0	1.402154	3.0	1.0	0.0	Im3m	8
3.422397	1.0	1.0	0.0	1.975922	2.0	1.0	1.0	0.785152	5.0	3.0	2.0	1.293544	3.0	2.0	1.0	2.42	2.0	0.0	0.0	1.530542	3.0	1.0	0.0	Im3m	8
3.50798	1.0	1.0	1.0	3.038	2.0	0.0	0.0	1.831983	3.0	1.0	1.0	2.14819	2.0	2.0	0.0	0.791028	7.0	3.0	1.0	0.81194	6.0	4.0	2.0	Fm3m	4
3.44361	1.0	1.0	0.0	1.988169	2.0	1.0	1.0	0.790018	5.0	3.0	2.0	1.301562	3.0	2.0	1.0	2.435	2.0	0.0	0.0	1.540029	3.0	1.0	0.0	Im3m	8
3.280783	1.0	0.0	1.0	3.525	0.0	0.0	2.0	1.829286	1.0	1.0	2.0	1.984721	1.0	0.0	3.0	3.706589	1.0	0.0	0.0	2.14	1.0	1.0	0.0	P6_3mmc	0
1.910654	1.0	0.0	1.0	1.6385	1.0	1.0	0.0	0.825293	1.0	2.0	2.0	0.990684	2.0	1.0	1.0	1.243786	0.0	2.0	1.0	0.81925	2.0	2.0	0.0	R3m	7
3.248809	2.0	2.0	3.0	3.084134	2.0	2.0	0.0	3.793342	3.0	1.0	2.0	3.931088	0.0	0.0	2.0	5.063829	1.0	1.0	2.0	3.716718	3.0	1.0	3.0	C2c	2
2.735147	1.0	0.0	1.0	0.772431	4.0	0.0	1.0	2.8468	0.0	0.0	2.0	3.118558	1.0	0.0	0.0	0.787051	3.0	1.0	3.0	1.521694	1.0	1.0	2.0	P6_3mmc	0
